iter	Passed	Remaining
0	1	151
1	2	142
2	4	133
3	5	134
4	7	133
5	8	130
6	9	128
7	11	129
8	13	140
9	15	137
10	16	134
11	17	130
12	19	127
13	20	126
14	21	123
15	23	121
16	24	118
17	25	117
18	27	115
19	28	113
20	29	110
21	30	108
22	32	107
23	33	105
24	35	105
25	36	103
26	37	102
27	39	100
28	40	99
29	41	97
30	42	95
31	44	94
32	45	92
33	46	90
34	48	89
35	49	88
36	51	87
37	52	85
38	53	84
39	55	82
40	56	80
41	57	79
42	59	78
43	59	76
44	61	74
45	62	73
46	64	72
47	65	70
48	66	69
49	68	68
50	69	66
51	70	65
52	72	63
53	73	62
54	75	61
55	77	60
56	79	59
57	81	59
58	83	57
59	84	56
60	86	55
61	89	54
62	91	53
63	92	52
64	94	50
65	95	49
66	96	47
67	97	45
68	98	44
69	99	42
70	100	41
71	101	39
72	102	38
73	103	36
74	105	35
75	106	33
76	107	31
77	108	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	115	20
85	116	18
86	117	17
87	118	16
88	119	14
89	120	13
90	121	11
91	122	10
92	123	9
93	124	7
94	125	6
95	126	5
96	127	3
97	128	2
98	129	1
99	130	0
